:@computed_region_s6p5_2pgr,balance,citation,councildistrict,description,expmm,expyy,importdate,location,location_2,location_2_address,location_2_city,location_2_state,location_2_zip,make,neighborhood,noticedate,openfine,openpenalty,penaltydate,policedistrict,state,tag,violcode,violdate,violfine
17002.0,0,61862695,,All Other Parking Meter Violations,10.0,19,2017-10-27T04:02:00.000,U/B FREMONT AVE,POINT (-76.755631 38.817168),,U B FREMONT AVE Baltimore,MD,,ACURA,,,32,0,,,MD,3DB3724,18,2017-10-25T17:48:00.000,32
27935.0,0,960054,,No Parking/Standing In Transit Stop,1.0,18,2017-02-09T04:01:00.000,2633 FAIT,POINT (-76.578721 39.283118),2633 FAIT,Baltimore,MD,,CHEV,,,77,0,,,MD,4CF0054,16,2017-01-16T12:00:00.000,77
27935.0,0,960070,1.0,No Parking/Standing In Transit Stop,3.0,18,2017-02-09T04:01:00.000,2635 FAIT AVE,POINT (-76.578677 39.283119),2635 FAIT AVE,Baltimore,MD,,FORD,Canton,,0,0,,Southeastern,MD,5CF6190,16,2017-01-16T12:00:00.000,77
27935.0,0,960690,,No Parking/Standing In Transit Stop,12.0,18,2017-09-20T04:03:00.000,2825 FAIT,POINT (-76.575904 39.283215),2825 FAIT,Baltimore,MD,,CHEV,,,0,0,,,MD,61580CA,16,2017-05-23T12:00:00.000,77
13642.0,0,1040229,,No Parking/Standing In Transit Stop,9.0,18,2017-11-22T04:02:00.000,200 N EUTAW ST,POINT (-76.621112 39.292121),200 N EUTAW ST,Baltimore,MD,,DODG,,,252,0,,,MD,2CP2062,16,2017-10-30T07:37:00.000,252
27291.0,0,61863172,,Expired Tags,4.0,17,2017-10-24T04:02:00.000,2500 STRATHMORE AVE,POINT (-76.570815 39.352557),2500 STRATHMORE AVE,Baltimore,MD,,TOYOT,,,32,0,,,MD,8BA6469,22,2017-10-20T16:52:00.000,32
,0,50027193,,Red Light Violation,4.0,18,2017-09-26T04:02:00.000,Pulaski Hwy EB @ N North Point,,N Pulaski Hwy EB,Baltimore,MD,,MERC,,,0,0,,,MD,1BM9866,30,2017-09-12T20:42:00.000,75
,0,50038851,,Red Light Violation,10.0,18,2017-09-30T04:02:00.000,S Monroe St SB @ Washington Bl,,S Monroe St SB,Bl Baltimore,MD,,NISS,,,0,0,,,MD,9CN0134,30,2017-09-18T21:49:00.000,75
,0,50056242,,Red Light Violation,4.0,17,2017-10-11T04:02:00.000,Loch Raven Blvd NB @ E Belvede,,E Loch Raven Blvd NB,Baltimore,MD,,KIA,,,0,0,,,MD,5CS5688,30,2017-09-25T15:29:00.000,75
,0,50060251,,Red Light Violation,10.0,17,2017-10-11T04:02:00.000,W Northern Pkwy WB @ Greenspri,,W Northern Pkwy WB,Baltimore,MD,,NISS,,,0,0,,,MD,5BZ7018,30,2017-09-26T19:40:00.000,75
27301.0,0,1215615,9.0,No Parking/Standing In Transit Stop,11.0,19,2017-11-18T04:02:00.000,2100 EDMONDSON AVE,POINT (-76.650679 39.295029),2100 EDMONDSON AVE,Baltimore,MD,,HOND,Midtown-Edmondson,,252,0,,Western,MD,9BF5339,16,2017-11-01T01:00:00.000,252
,0,50066944,,Red Light Violation,8.0,18,2017-10-11T04:02:00.000,Pulaski Hwy EB @ N North Point,,N Pulaski Hwy EB,Baltimore,MD,,HOND,,,0,0,,,MD,5CL4813,30,2017-09-28T02:41:00.000,75
