"","GAME_ID","League","Day/Night","PlayingSurface","Weather","WindSpeed","WindDirection","Temperature"
"1","2013/04/01/anamlb-cinmlb-1","NL","D","G","Partly Cloudy",11,"Out To LF",47
"2","2013/04/01/chnmlb-pitmlb-1","NL","D","G","Cloudy",12,"Out To CF",41
"3","2013/04/01/detmlb-minmlb-1","AL","D","G","Sunny",17,"Out To CF",35
"4","2013/04/01/kcamlb-chamlb-1","AL","D","G","Partly Cloudy",12,"Out To RF",44
"5","2013/04/01/miamlb-wasmlb-1","NL","D","G","Partly Cloudy",15,"Out To RF",61
"6","2013/04/01/phimlb-atlmlb-1","NL","N","G","Partly Cloudy",11,"L To R",69
"7","2013/04/01/sdnmlb-nynmlb-1","NL","D","G","Cloudy",18,"Out To CF",61
"8","2013/04/01/seamlb-oakmlb-1","AL","N","G","Partly Cloudy",11,"Out To RF",61
"9","2013/04/01/slnmlb-arimlb-1","NL","N","G","Partly Cloudy",8,"In From RF",82
"10","2013/04/01/colmlb-milmlb-1","NL","D","G","Roof Closed",0,"None",63
"11","2013/04/01/sfnmlb-lanmlb-1","NL","D","G","Cloudy",7,"Out To CF",63
"12","2013/04/02/balmlb-tbamlb-1","AL","D","T","Dome",-1,"",72
"13","2013/04/01/bosmlb-nyamlb-1","AL","D","G","Partly Cloudy",17,"R To L",62
"14","2013/04/02/seamlb-oakmlb-1","AL","N","G","Partly Cloudy",10,"Out To RF",61
"15","2013/04/02/slnmlb-arimlb-1","NL","N","G","Clear",12,"L To R",82
"16","2013/04/02/texmlb-houmlb-1","AL","N","G","Roof Closed",0,"None",73
"17","2013/04/02/colmlb-milmlb-1","NL","N","G","Roof Closed",0,"None",63
"18","2013/04/02/clemlb-tormlb-1","AL","N","T","Roof Closed",0,"None",68
"19","2013/04/02/sfnmlb-lanmlb-1","NL","N","G","Clear",5,"Out To RF",65
"20","2013/04/03/anamlb-cinmlb-1","NL","N","G","Clear",11,"Out To RF",49
"21","2013/04/03/balmlb-tbamlb-1","AL","N","T","Dome",-1,"",72
"22","2013/04/03/bosmlb-nyamlb-1","AL","N","G","Clear",22,"L To R",43
"23","2013/04/03/chnmlb-pitmlb-1","NL","N","G","Partly Cloudy",17,"Out To CF",35
"24","2013/04/03/detmlb-minmlb-1","AL","D","G","Sunny",18,"R To L",46
"25","2013/04/03/kcamlb-chamlb-1","AL","D","G","Sunny",11,"L To R",43
"26","2013/04/03/miamlb-wasmlb-1","NL","N","G","Clear",17,"In From CF",45
"27","2013/04/03/phimlb-atlmlb-1","NL","N","G","Rain",9,"R To L",60
"28","2013/04/03/sdnmlb-nynmlb-1","NL","N","G","Clear",21,"Out To RF",44
"29","2013/04/03/seamlb-oakmlb-1","AL","N","G","Cloudy",11,"Out To RF",60
"30","2013/04/03/slnmlb-arimlb-1","NL","N","G","Clear",5,"In From LF",83
"31","2013/04/03/texmlb-houmlb-1","AL","D","G","Roof Closed",0,"None",73
"32","2013/04/03/clemlb-tormlb-1","AL","N","T","Roof Closed",0,"None",68
"33","2013/04/03/colmlb-milmlb-1","NL","N","G","Roof Closed",0,"None",62
"34","2013/04/03/sfnmlb-lanmlb-1","NL","N","G","Partly Cloudy",8,"Out To CF",65
"35","2013/04/04/anamlb-cinmlb-1","NL","D","G","Partly Cloudy",10,"In From LF",50
"36","2013/04/04/balmlb-tbamlb-1","AL","D","T","Dome",-1,"",72
"37","2013/04/04/bosmlb-nyamlb-1","AL","N","G","Partly Cloudy",14,"R To L",43
"38","2013/04/04/chnmlb-pitmlb-1","NL","D","G","Partly Cloudy",7,"In From CF",45
"39","2013/04/04/detmlb-minmlb-1","AL","D","G","Partly Cloudy",13,"Out To RF",46
"40","2013/04/04/kcamlb-chamlb-1","AL","D","G","Partly Cloudy",12,"In From RF",57
"41","2013/04/04/miamlb-wasmlb-1","NL","D","G","Cloudy",7,"Out To RF",47
"42","2013/04/04/phimlb-atlmlb-1","NL","N","G","Cloudy",11,"In From RF",41
"43","2013/04/04/sdnmlb-nynmlb-1","NL","D","G","Cloudy",9,"Out To LF",47
"44","2013/04/04/seamlb-oakmlb-1","AL","D","G","Overcast",12,"Out To LF",65
"45","2013/03/31/texmlb-houmlb-1","AL","N","G","Roof Closed",0,"None",73
"46","2013/04/04/clemlb-tormlb-1","AL","N","T","Roof Closed",0,"None",68
"47","2013/04/05/anamlb-texmlb-1","AL","D","G","Sunny",0,"None",64
"48","2013/04/05/chnmlb-atlmlb-1","NL","N","G","Clear",13,"L To R",62
"49","2013/04/05/clemlb-tbamlb-1","AL","N","T","Dome",-1,"",72
"50","2013/04/05/miamlb-nynmlb-1","NL","N","G","Clear",17,"L To R",57
"51","2013/04/05/minmlb-balmlb-1","AL","D","G","Sunny",6,"L To R",60
"52","2013/04/05/nyamlb-detmlb-1","AL","D","G","Sunny",12,"L To R",45
"53","2013/04/05/oakmlb-houmlb-1","AL","N","G","Partly Cloudy",5,"Out To CF",73
"54","2013/04/05/sdnmlb-colmlb-1","NL","D","G","Cloudy",4,"Out To RF",70
"55","2013/04/05/seamlb-chamlb-1","AL","N","G","Partly Cloudy",10,"L To R",34
"56","2013/04/05/slnmlb-sfnmlb-1","NL","D","G","Cloudy",11,"Out To CF",64
"57","2013/04/05/wasmlb-cinmlb-1","NL","N","G","Clear",9,"L To R",60
"58","2013/04/05/kcamlb-phimlb-1","NL","D","G","Sunny",19,"In From LF",64
