pitcher_id,Salary,FIP,rWAR,ERA,pct_F,pct_M,pct_O,count,pct_F_rel,pct_M_rel,pct_O_rel,pitcher_class,starter_reliever
112526,7666666.667,3.5979784,2.18,3.633333333,0.832642916,0.106758196,0.060598887,8449,0.209130563,-0.13724546,-0.066032174,F,1
115629,1937500,3.288839175,0.47,3.1575,0.737017034,0.221437474,0.041545492,2407,0.113504681,-0.022566183,-0.085085569,F,1
117955,1250000,5.6615384,-0.51,9,0.864321608,0.115577889,0.020100503,199,0.240809255,-0.128425767,-0.106530559,F,0
119984,3.00E+06,4.077551,0.21,3.86,0.715492958,0.253521127,0.030985915,710,0.091980605,0.00951747,-0.095645146,F,0
120485,1.20E+07,3.7888708,2.54,3.74,0.553979239,0.369550173,0.076470588,2890,-0.069533114,0.125546516,-0.050160473,M,1
121250,1.00E+07,3.153125,2.45,2.11,1,0,0,924,0.376487647,-0.244003657,-0.126631062,F,0
124604,1350000,3.2213063,0.34,3.72,0.653757492,0.251728907,0.094513601,2169,0.030245139,0.007725251,-0.032117461,F,1
133225,13250000,4.7254237,-0.18,4.57,0.551654965,0.448345035,0,2991,-0.071857388,0.204341378,-0.126631062,M,1
136600,3750000,4.39646565,0.245,5.36,0.42206235,0.402192532,0.175745118,2919,-0.201450003,0.158188875,0.049114057,M,1
136734,3500000,4.1523809,-0.6,13.5,0.794642857,0.205357143,0,112,0.171130504,-0.038646514,-0.126631062,F,0
136880,2.00E+07,5.8129032,-0.95,6.82,0.57323689,0.221518987,0.205244123,1106,-0.050275463,-0.022484669,0.078613061,O,0
150035,1250000,4.04321745,-0.04,3.4,0.674952199,0.259082218,0.065965583,1046,0.051439846,0.015078561,-0.060665478,F,0
150274,9.00E+06,-3.494166933,1.01,2.066666667,0.547653604,0.445089502,0.007256894,2067,-0.075858749,0.201085845,-0.119374168,M,1
150302,2250000,5.4946059,-0.565,5.255,0.580560748,0.251588785,0.167850467,2675,-0.042951605,0.007585128,0.041219406,O,1
150359,13235918.67,3.341649367,1.493333333,3.69,0.598793026,0,0.401206974,8948,-0.024719327,-0.244003657,0.274575912,O,1
150414,8750000,4.5166953,-0.56,4.63,0.773218143,0.139848812,0.086933045,1852,0.149705789,-0.104154845,-0.039698016,F,1
217096,2.00E+07,4.980616,-2.61,5.74,0.683513839,0.199759326,0.116726835,2493,0.060001486,-0.044244331,-0.009904227,F,1
218596,10666666.67,3.833775567,0.95,3.993333333,0.772280224,0.227719776,0,6609,0.148767871,-0.016283881,-0.126631062,F,1
234194,725000,2.075,-0.22,5.63,0.827350427,0.152136752,0.020512821,585,0.203838074,-0.091866905,-0.106118241,F,0
239795,850000,6.1375,-0.7,9,0.804878049,0.12804878,0.067073171,328,0.181365696,-0.115954876,-0.059557891,F,0
275933,4375000,3.650972225,0.185,3.73,0.734341253,0.265658747,0,1389,0.1108289,0.021655091,-0.126631062,F,0
276351,3843750,2.877536725,0.2625,3.4975,0.648361005,0.328224777,0.023414219,2349,0.024848652,0.08422112,-0.103216843,M,1
276514,1500000,5.7490196,-0.7,10.13,0.757412399,0.242587601,0,1484,0.133900046,-0.001416056,-0.126631062,F,0
276520,12972766.5,4.40901445,1.58,3.935,0.43705868,0.378378378,0.184562941,4107,-0.186453673,0.134374722,0.05793188,M,1
276542,6655063.333,3.009877133,2.146666667,1.946666667,0.527172032,0.157493943,0.315334026,2889,-0.096340321,-0.086509714,0.188702964,O,1
277417,16375000,4.51545655,0.535,4.035,0.561643836,0.275114155,0.163242009,2628,-0.061868517,0.031110499,0.036610947,O,1
279571,3950000,3.462670933,0.466666667,3.953333333,0.630021914,0.334185537,0.035792549,2738,0.006509561,0.09018188,-0.090838512,M,1
279782,5.00E+05,4.9941176,-0.03,5.82,0.606877323,0.304832714,0.088289963,1076,-0.01663503,0.060829057,-0.038341099,M,0
279824,16666666.67,4.004930133,2.226666667,3.783333333,0.674656788,0.095227718,0.230115494,9178,0.051144435,-0.148775938,0.103484432,O,1
282332,2.30E+07,4.4726971,0.246666667,4.93,0.578437133,0.251909518,0.169653349,6808,-0.04507522,0.007905862,0.043022287,O,1
283166,2250000,4.9,-0.4,4.68,0.541353383,0.374865736,0.083780881,931,-0.08215897,0.130862079,-0.042850181,M,0
285064,4500000,4.15069365,0.39,4.335,0.496191819,0.385049365,0.118758815,7090,-0.127320534,0.141045709,-0.007872246,M,1
285079,9666666.667,4.396887267,2.27,3.943333333,0.129765039,0,0.870234961,10257,-0.493747315,-0.244003657,0.7436039,O,1
329092,2500000,2.953935333,0.42,3.58,0.674293405,0.325706595,0,1486,0.050781052,0.081702938,-0.126631062,M,0
346793,6.00E+06,4.128806967,0.223333333,3.96,0.695121951,0.225874867,0.079003181,1886,0.071609598,-0.018128789,-0.04762788,F,1
346797,5377304,5.6402228,0.253333333,4.576666667,0.614297945,0.381849315,0.00385274,2336,-0.009214408,0.137845658,-0.122778322,M,1
346798,8666666.667,4.399068733,1.483333333,4.246666667,0.458787666,0.381052878,0.160159456,8529,-0.164724687,0.137049222,0.033528394,M,1
346847,850000,4.1777777,1.06,2.2,0.719066148,0.164980545,0.115953307,1285,0.095553795,-0.079023112,-0.010677754,F,0
400010,1.00E+06,3.4469135,-0.61,7.56,0.597972973,0.337837838,0.064189189,296,-0.02553938,0.093834181,-0.062441872,M,0
407193,750000,4.1384164,-0.55,4.98,0.687612208,0.307001795,0.005385996,557,0.064099855,0.062998139,-0.121245065,F,0
407793,12089375,3.855507775,2.3875,3.5475,0.871267419,0.102853351,0.02587923,9042,0.247755066,-0.141150306,-0.100751831,F,1
407816,6750000,3.70953075,0.315,4.475,0.644132653,0.355867347,0,784,0.0206203,0.11186369,-0.126631062,M,0
407819,4833333.333,3.306935033,0.316666667,3.31,0.854155776,0.145844224,0,1913,0.230643423,-0.098159433,-0.126631062,F,1
407822,11500000,4.095305867,3.176666667,3.92,0.59537503,0.40462497,0,8346,-0.028137323,0.160621313,-0.126631062,M,1
407825,4711499,3.6270492,-0.06,3.465,0.819926874,0.113345521,0.066727605,1094,0.196414521,-0.130658136,-0.059903457,F,0
407842,2850000,4.300893025,0.3225,4.315,0.562737643,0.437262357,0,1841,-0.06077471,0.193258701,-0.126631062,M,0
407845,5875000,3.3850991,0.2075,3.165,0.645398412,0,0.354601588,3401,0.021886059,-0.244003657,0.227970526,O,1
407853,1150000,4.4119205,0.89,4.59,0.607660201,0.236926099,0.1554137,4073,-0.015852152,-0.007077558,0.028782638,O,1
407878,1.00E+06,4.9821782,-0.77,5.66,0.800285307,0.199714693,0,701,0.176772954,-0.044288963,-0.126631062,F,0
407890,4.00E+06,4.0814887,1,4.66,0.526687995,0.364034349,0.109277656,5939,-0.096824358,0.120030693,-0.017353405,M,1
407908,2833333.333,4.105616733,0.093333333,4.053333333,0.422028353,0.577971647,0,2751,-0.201484,0.33396799,-0.126631062,M,1
407911,6500000,2.7081968,-0.04,4.26,0.644230769,0.355769231,0,208,0.020718416,0.111765574,-0.126631062,M,0
408061,3375000,3.74772965,1.59,2.625,0.524338827,0.162131085,0.313530088,2609,-0.099173526,-0.081872572,0.186899026,O,1
408206,7.00E+06,8.9345971,-0.57,8.02,0.542319749,0.29153605,0.166144201,319,-0.081192604,0.047532393,0.039513139,M,0
