NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE,AVG ANNUAL
"Greinke, Zack",LAD,SP,$28000000,6 (2013-18),$147000000,$24500000
"Howard, Ryan",PHI,1B,$25000000,5 (2012-16),$125000000,$25000000
"Lee, Cliff",PHI,SP,$25000000,5 (2011-15),$120000000,$24000000
"Cano, Robinson",SEA,2B,$24000000,10 (2014-23),$240000000,$24000000
"Fielder, Prince",TEX,1B,$24000000,9 (2012-20),$214000000,$23777778
"Hamels, Cole",PHI,SP,$23500000,6 (2013-18),$144000000,$24000000
"Teixeira, Mark",NYY,1B,$23125000,8 (2009-16),$180000000,$22500000
"Pujols, Albert",LAA,1B,$23000000,10 (2012-21),$240000000,$24000000
"Mauer, Joe",MIN,1B,$23000000,8 (2011-18),$184000000,$23000000
"Sabathia, CC",NYY,SP,$23000000,5 (2012-16),$122000000,$24400000
"Hernandez, Felix",SEA,SP,$22857142,7 (2013-19),$175000000,$25000000
"Tanaka, Masahiro",NYY,SP,$22000000,7 (2014-20),$155000000,$22142857
"Cabrera, Miguel",DET,1B,$21943026,10 (2014-23),$292000000,$29200000
"Gonzalez, Adrian",LAD,1B,$21857142,7 (2012-18),$154000000,$22000000
"Kemp, Matt",LAD,CF,$21250000,8 (2012-19),$160000000,$20000000
"Ellsbury, Jacoby",NYY,CF,$21142857,7 (2014-20),$153000000,$21857143
"Crawford, Carl",LAD,LF,$21107142,7 (2011-17),$142000000,$20285714
"Cain, Matt",SF,SP,$20833333,6 (2012-17),$127500000,$21250000
"Werth, Jayson",WSH,RF,$20571428,7 (2011-17),$126000000,$18000000
"Verlander, Justin",DET,SP,$20000000,7 (2013-19),$180000000,$25714286
"Wainwright, Adam",STL,SP,$19500000,5 (2014-18),$97500000,$19500000
"Wright, David",NYM,3B,$19329646,8 (2013-20),$138000000,$17250000
"Kershaw, Clayton",LAD,SP,$19000000,7 (2014-20),$215000000,$30714286
"Soriano, Alfonso",NYY,LF,$19000000,8 (2007-14),$136000000,$17000000
"Buehrle, Mark",TOR,SP,$19000000,4 (2012-15),$58000000,$14500000
"Hamilton, Josh",LAA,LF,$17000000,5 (2013-17),$125000000,$25000000
"McCann, Brian",NYY,C,$17000000,5 (2014-18),$85000000,$17000000
"Beltre, Adrian",TEX,3B,$17000000,5 (2011-15),$80000000,$16000000
"Beckett, Josh",LAD,SP,$17000000,4 (2011-14),$68000000,$17000000
"Lincecum, Tim",SF,SP,$17000000,2 (2014-15),$35000000,$17500000
"Wilson, C.J.",LAA,SP,$16500000,5 (2012-16),$77500000,$15500000
"Holliday, Matt",STL,LF,$16252360,7 (2010-16),$120000000,$17142857
"Weaver, Jered",LAA,SP,$16200000,5 (2012-16),$85000000,$17000000
"Peavy, Jake",BOS,SP,$16157270,2 (2013-14),$29000000,$14500000
"Tulowitzki, Troy",COL,SS,$16000000,10 (2011-20),$157750000,$15775000
"Reyes, Jose",TOR,SS,$16000000,6 (2012-17),$106000000,$17666667
"Kinsler, Ian",DET,2B,$16000000,5 (2013-17),$75000000,$15000000
"Ramirez, Hanley",LAD,SS,$16000000,6 (2009-14),$70000000,$11666667
"Napoli, Mike",BOS,1B,$16000000,2 (2014-15),$32000000,$16000000
"Kuroda, Hiroki",NYY,SP,$16000000,1 (2014),$16000000,$16000000
"Lackey, John",BOS,SP,$15950000,5 (2010-14),$82500000,$16500000
"Sanchez, Anibal",DET,SP,$15800000,5 (2013-17),$80000000,$16000000
"Danks, John",CWS,SP,$15750000,5 (2012-16),$65000000,$13000000
"Scherzer, Max",DET,SP,$15525000,1 (2014),$15525000,$15525000
"Ethier, Andre",LAD,RF,$15500000,5 (2013-17),$85000000,$17000000
"Peralta, Jhonny",STL,SS,$15500000,4 (2014-17),$53000000,$13250000
"Ortiz, David",BOS,DH,$15500000,2 (2013-14),$26000000,$13000000
"Markakis, Nick",BAL,RF,$15350000,6 (2009-14),$66100000,$11016667
"Pence, Hunter",SF,RF,$15200000,5 (2014-18),$90000000,$18000000
"Molina, Yadier",STL,C,$15200000,5 (2013-17),$75000000,$15000000
"Ramirez, Aramis",MIL,3B,$15137803,3 (2012-14),$36000000,$12000000
"Dunn, Adam",CWS,DH,$15000000,4 (2011-14),$56000000,$14000000
"Swisher, Nick",CLE,1B,$15000000,4 (2013-16),$56000000,$14000000
"Beltran, Carlos",NYY,RF,$15000000,3 (2014-16),$45000000,$15000000
"Utley, Chase",PHI,2B,$15000000,2 (2014-15),$27000000,$13500000
"Burnett, A.J.",PHI,SP,$14707756,2 (2014-15),$22500000,$11250000
"Upton, Justin",ATL,LF,$14458333,6 (2010-15),$51250000,$8541667
"Choo, Shin-Soo",TEX,LF,$14000000,7 (2014-20),$130000000,$18571429
"Zimmerman, Ryan",WSH,3B,$14000000,6 (2014-19),$100000000,$16666667
"Bautista, Jose",TOR,RF,$14000000,5 (2011-15),$65000000,$13000000
"Hunter, Torii",DET,RF,$14000000,2 (2013-14),$26000000,$13000000
"Price, David",TB,SP,$14000000,1 (2014),$14000000,$14000000
"Rios, Alex",TEX,RF,$13500000,7 (2008-14),$69835000,$9976429
"Bourn, Michael",CLE,CF,$13500000,4 (2013-16),$48000000,$12000000
"Shields, James",KC,SP,$13500000,1 (2014),$13500000,$13500000
"Jones, Adam",BAL,CF,$13323520,6 (2013-18),$85500000,$14250000
"Uggla, Dan",ATL,2B,$13146942,5 (2011-15),$62000000,$12400000
"Granderson, Curtis",NYM,RF,$13000000,4 (2014-17),$60000000,$15000000
"Jackson, Edwin",CHC,SP,$13000000,4 (2013-16),$52000000,$13000000
"Papelbon, Jonathan",PHI,RP,$13000000,4 (2012-15),$50000000,$12500000
"Victorino, Shane",BOS,RF,$13000000,3 (2013-15),$39000000,$13000000
"Lester, Jon",BOS,SP,$13000000,1 (2014),$13000000,$13000000
"Rodriguez, Wandy",PIT,SP,$13000000,1 (2014),$13000000,$13000000
"Pedroia, Dustin",BOS,2B,$12625000,8 (2014-21),$110000000,$13750000
"Garza, Matt",MIL,SP,$12209424,4 (2014-17),$50000000,$12500000
"Soriano, Rafael",WSH,RP,$12072657,2 (2013-14),$28000000,$14000000
"Votto, Joey",CIN,1B,$12000000,10 (2014-23),$225000000,$22500000
"Martinez, Victor",DET,DH,$12000000,4 (2011-14),$50000000,$12500000
"Nolasco, Ricky",MIN,SP,$12000000,4 (2014-17),$49000000,$12250000
"Weeks, Rickie",MIL,2B,$12000000,4 (2011-14),$38500000,$9625000
"Billingsley, Chad",LAD,P,$12000000,3 (2012-14),$35000000,$11666667
"Feldman, Scott",HOU,SP,$12000000,3 (2014-16),$30000000,$10000000
"Dickey, R.A.",TOR,SP,$12000000,2 (2014-15),$25000000,$12500000
"LaRoche, Adam",WSH,1B,$12000000,2 (2013-14),$24000000,$12000000
"Jeter, Derek",NYY,SS,$12000000,1 (2014),$12000000,$12000000
"Cuddyer, Michael",COL,RF,$11500000,3 (2012-14),$31500000,$10500000
"Gallardo, Yovani",MIL,SP,$11500000,5 (2010-14),$30100000,$6020000
"Posey, Buster",SF,C,$11277777,9 (2013-21),$167000000,$18555556
"Gordon, Alex",KC,LF,$11250000,4 (2012-15),$37500000,$9375000
"Braun, Ryan",MIL,RF,$11111111,13 (2008-20),$150000000,$11538462
"Phillips, Brandon",CIN,2B,$11083333,6 (2012-17),$72500000,$12083333
"Darvish, Yu",TEX,SP,$11000000,6 (2012-17),$56000000,$9333333
"Prado, Martin",ARI,3B,$11000000,4 (2013-16),$40000000,$10000000
"Hill, Aaron",ARI,2B,$11000000,3 (2014-16),$35000000,$11666667
"Rollins, Jimmy",PHI,SS,$11000000,3 (2012-14),$33000000,$11000000
"Lohse, Kyle",MIL,SP,$11000000,3 (2013-15),$33000000,$11000000
"Hudson, Tim",SF,SP,$11000000,2 (2014-25),$23000000,$11500000
"De La Rosa, Jorge",COL,SP,$11000000,1 (2014),$11000000,$11000000
"Gonzalez, Carlos",COL,LF,$10928571,7 (2011-17),$80000000,$11428571
"Jimenez, Ubaldo",BAL,SP,$10923102,4 (2014-17),$50000000,$12500000
"Headley, Chase",SD,3B,$10525000,1 (2014),$10525000,$10525000
"Cespedes, Yoenis",OAK,LF,$10500000,4 (2012-15),$36000000,$9000000
