Date,Result_W-L-Bye,Home_Away_Bye
9/3/00,Win,Away
9/10/00,Win,Home
9/17/00,Loss,Away
9/24/00,Win,Home
10/1/00,Win,Away
10/8/00,Win,Away
10/15/00,Loss,Away
10/22/00,Loss,Home
10/29/00,Loss,Home
11/5/00,Win,Away
11/12/00,Win,Away
11/19/00,Win,Home
11/26/00,Win,Home
12/3/00,Bye,Bye
12/10/00,Win,Home
12/17/00,Win,Away
12/24/00,Win,Home
12/31/00,Win,Home
1/7/01,Win,Away
1/14/01,Win,Away
1/28/01,Win,Away
9/9/01,Win,Home
9/14/01,Bye,Bye
9/23/01,Loss,Away
9/30/01,Win,Away
10/7/01,Win,Home
10/14/01,Loss,Away
10/21/01,Loss,Away
10/28/01,Win,Home
11/4/01,Win,Away
11/12/01,Win,Away
11/18/01,Loss,Home
11/25/01,Win,Away
12/2/01,Win,Home
12/9/01,Bye,Bye
12/16/01,Loss,Home
12/23/01,Win,Home
12/29/01,Loss,Away
1/7/02,Win,Home
1/13/02,Win,Away
1/20/02,Loss,Away
9/8/02,Loss,Away
9/15/02,Loss,Home
9/22/02,Bye,Bye
9/30/03,Win,Home
10/6/02,Win,Away
10/13/02,Loss,Away
10/20/02,Win,Home
10/27/02,Loss,Home
11/3/02,Loss,Away
11/10/02,Win,Home
11/17/02,Loss,Away
11/24/02,Win,Home
12/1/02,Win,Away
12/8/02,Loss,Home
12/15/02,Win,Away
12/22/02,Loss,Home
12/29/02,Loss,Away
9/7/03,Loss,Away
9/14/03,Win,Home
9/21/03,Win,Away
9/28/03,Loss,Home
10/5/03,Bye,Bye
10/12/03,Win,Away
10/19/03,Loss,Away
10/26/03,Win,Home
11/2/03,Win,Home
11/9/03,Loss,Away
11/16/03,Loss,Away
11/23/03,Win,Home
11/30/03,Win,Home
12/7/03,Win,Home
12/14/03,Loss,Away
12/21/03,Win,Away
12/28/03,Win,Home
1/3/04,Loss,Home
9/12/04,Loss,Away
9/19/04,Win,Home
9/26/04,Win,Away
10/4/04,Loss,Home
10/10/04,Win,Away
10/17/04,Bye,Bye
10/24/04,Win,Home
10/31/04,Loss,Away
11/7/04,Win,Home
11/14/04,Win,Away
11/21/04,Win,Home
11/28/04,Loss,Away
12/5/04,Loss,Home
12/12/04,Win,Home
12/19/04,Loss,Away
12/26/04,Loss,Away
1/2/05,Win,Home
9/11/05,Loss,Home
9/18/05,Loss,Away
9/25/05,Bye,Bye
10/2/05,Win,Home
10/9/05,Loss,Away
10/16/05,Win,Home
10/23/05,Loss,Away
10/31/05,Loss,Away
11/6/05,Loss,Home
11/13/05,Loss,Away
11/20/05,Win,Home
11/27/05,Loss,Away
12/4/05,Win,Home
12/11/05,Loss,Away
12/19/05,Win,Home
12/25/05,Win,Home
1/1/06,Loss,Away
9/10/06,Win,Away
9/17/06,Win,Home
9/24/06,Win,Away
10/1/06,Win,Home
10/9/06,Loss,Away
10/15/06,Loss,Home
10/22/06,Bye,Bye
10/29/06,Win,Away
11/5/06,Win,Home
11/12/06,Win,Away
11/19/06,Win,Home
11/26/06,Win,Home
11/30/06,Loss,Away
12/3/06,Bye,Bye
12/10/06,Win,Away
12/17/06,Win,Home
12/24/06,Win,Away
12/31/06,Win,Home
1/7/07,Bye,Bye
1/13/07,Loss,Home
9/10/07,Loss,Away
9/16/07,Win,Home
9/23/07,Win,Home
9/30/07,Loss,Away
10/7/07,Win,Away
10/14/07,Win,Home
10/21/07,Loss,Away
10/28/07,Bye,Bye
11/5/07,Loss,Away
11/11/07,Loss,Home
11/18/07,Loss,Home
11/25/07,Loss,Away
12/3/07,Loss,Home
12/9/07,Loss,Home
12/16/07,Loss,Away
12/23/07,Loss,Away
12/30/07,Win,Home
9/7/08,Win,Home
9/14/08,Bye,Bye
9/21/08,Win,Home
9/29/08,Loss,Away
10/5/08,Loss,Home
10/12/08,Loss,Away
10/19/08,Win,Away
10/26/08,Win,Home
11/2/08,Win,Away
11/9/08,Win,Away
11/16/08,Loss,Away
11/23/08,Win,Home
11/30/08,Win,Away
12/7/08,Win,Home
12/14/08,Loss,Home
12/20/08,Win,Away
12/28/08,Win,Home
1/4/09,Win,Away
1/10/09,Win,Away
1/18/09,Loss,Away
9/13/09,Win,Home
9/20/09,Win,Away
9/27/09,Win,Home
10/4/09,Loss,Away
10/11/09,Loss,Home
10/18/09,Loss,Away
10/25/09,Bye,Bye
11/1/09,Win,Home
11/8/09,Loss,Away
11/15/09,Win,Away
11/22/09,Loss,Home
11/29/09,Win,Home
12/7/09,Loss,Away
12/13/09,Win,Home
12/20/09,Win,Home
12/27/09,Loss,Away
1/3/10,Win,Away
1/10/10,Win,Away
1/16/10,Loss,Away
9/13/10,Win,Away
9/19/10,Loss,Away
